name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
Take on Me,Hunting High and Low,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,6/1/1985,0.9545454545454546,0.43459053615832616,0.573,0.018,0.902,0.00125,0.0928,0.876,0.18177923746965585,0.054,0.3872998394127094,0.5454545454545454,0.8,Happy,0.783666667,3
Takeoff,Takeoff,Silo Silo,4iKSrwTBu0vLSqmZUXSGXr,5/1/2020,0.6022727272727273,0.37553267627750675,0.44,0.625,0.32,0.886,0.0823,0.0694,0.2858536817554381,0.0323,0.8260426703372333,0.36363636363636365,0.8,Sad,0.276466667,2
Talking In Your Sleep,In Heat,The Romantics,7fRvtXvJMpGfTLdF0M09a1,2/14/1983,0.6931818181818182,0.4535209202639798,0.72,0.0289,0.967,0.000345,0.142,0.977,0.10552620305583321,0.0343,0.5953934388621244,0.8181818181818182,0.8,Happy,0.888,3
Target,Target,Tom Kalani,60tHXabTlAhzlkXRDWl9cp,11/16/2019,0.625,0.35302764611582776,0.55,0.714,0.471,0.952,0.0815,0.261,0.3819553524679899,0.0295,0.7340353292039459,0.45454545454545453,0.8,Sad,0.427333333,1
Teardrop - Remastered 2006,Bite Size Massive Attack,Massive Attack,1ZekzmhuM380sFcUZePjmL,1/1/2006,0.0,0.6327991619933908,0.612,0.0204,0.463,0.653,0.183,0.17,0.1821362273311438,0.035,0.3532002752924983,1.0,0.8,Sad,0.415,1
Teardrops - Single Version,Music For Groovin',Various Artists,5HiKQLlJ3LAuz8J9yHB0HX,1/1/2007,0.6818181818181818,0.4448013303162009,0.879,0.037,0.693,0.119,0.18,0.966,0.2517254509971917,0.046,0.611291580637761,1.0,0.8,Happy,0.846,3
Tears Don't Fall,The Poison,Bullet For My Valentine,1kdiiFGX1Htx0aVZYaDwEJ,2/14/2006,0.6931818181818182,0.6720758990148021,0.212,0.000725,0.926,4.83e-06,0.081,0.262,0.08039411680708268,0.14,0.7437623308098188,0.6363636363636364,0.8,Happy,0.466666667,1
Teenage Dirtbag,Wheatus,Wheatus,25FTMokYEbEWHEdss5JLZS,2/15/1999,0.7727272727272727,0.466200978831845,0.625,0.346,0.85,0.000233,0.174,0.633,0.09291256128325955,0.0495,0.43432438632713927,0.36363636363636365,0.8,Happy,0.702666667,3
Tegel,Tegel,Lambert,5Vh9sUjTiivWtvKmif40wy,5/1/2020,0.4772727272727273,0.29276987806077864,0.233,0.993,0.0997,0.937,0.105,0.123,0.6096434861249941,0.0456,0.3868272539573297,0.09090909090909091,0.8,Sad,0.1519,2
Telling Tales,Telling Tales,Song Sung,3AfZWVkAf2ipi68BMVvfwq,5/26/2020,0.4090909090909091,0.48709905801420983,0.425,0.0262,0.555,0.284,0.206,0.247,0.280974820315103,0.0287,0.5000734113328745,0.0,0.8,Sad,0.409,1
Thank You for the Venom,Three Cheers for Sweet Revenge,My Chemical Romance,0BpKPyXhWsTaWkgXeOd1Sn,6/8/2004,0.6931818181818182,0.4265133407797088,0.486,0.00237,0.977,0.0,0.298,0.413,0.0824170593555143,0.0603,0.47488414774030746,0.6363636363636364,0.8,Happy,0.625333333,0
The A Team,The A Team,Ed Sheeran,2vBF8A6n0REigm7RSUM65S,5/1/2011,0.38636363636363635,0.4988454259770474,0.626,0.678,0.286,0.0,0.134,0.366,0.23639868627730973,0.0374,0.3897866483138334,0.8181818181818182,0.8,Sad,0.426,1
The Boys Are Back In Town,Jailbreak (Deluxe Edition),Thin Lizzy,2iAq1y8jEVOQM6OA8L0XtO,1976,0.0,0.5145329714317682,0.319,0.242,0.712,0.000414,0.294,0.773,0.2318530153743634,0.0535,0.3584033035099794,0.7272727272727273,0.8,Happy,0.601333333,0
The Calvary Cross,Live in Studio,Still Corners,65IP0rTvP6hFkIUNODG2VK,11/25/2019,0.36363636363636365,0.5920312207618839,0.661,0.675,0.425,0.13,0.104,0.19,0.24553762673140084,0.0312,0.5232484514796972,0.8181818181818182,0.8,Sad,0.425333333,1
The Choice,The Last of Us,Gustavo Santaolalla,2IXJyG1DX93g2EhFXghz37,6/7/2013,0.6704545454545454,0.1974890667530909,0.303,0.909,0.00338,0.89,0.116,0.347,0.7361606930363177,0.0493,0.23381509520532234,0.36363636363636365,0.8,Sad,0.217793333,2
The Dazzler,Ex:Re,Ex:Re,12oa6kHYN9FamPdcpSM54i,11/30/2018,0.0,0.5431745094748376,0.775,0.343,0.218,0.00596,0.0866,0.361,0.2617925650911514,0.0461,0.6103968800183529,0.8181818181818182,0.8,Happy,0.451333333,1
The Disappearance of the Unmoved Mover,The Disappearance of the Unmoved Mover,So Vea,62uEGHla1SOT2rhVAyMn6K,3/6/2020,0.6136363636363636,0.519502366056874,0.627,0.879,0.427,0.878,0.0977,0.132,0.2736446284925508,0.0283,0.5140766230786878,1.0,0.8,Sad,0.395333333,1
The Discovery,The Discovery,Sulfur Springs,5NKK0t7lYlyDsT5auDYKmq,10/4/2019,0.625,0.3723187743188785,0.414,0.827,0.127,0.822,0.0919,0.0354,0.5258936646199248,0.0383,0.5965634319798119,0.0,0.8,Sad,0.192133333,2
The Dreamer,The Dreamer,Charles Bolt,3XnQ3OqmfvP5Sh6gACEKnG,3/19/2020,0.625,0.3436675907117076,0.235,0.983,0.0363,0.92,0.0823,0.0481,0.44980722547479646,0.0335,0.7373434273916036,0.0,1.0,Sad,0.106466667,2
The Five Times I Loved You,Pyramid Train,Cora Zea,0W4RUo3m0jL0wHADS0PLme,5/15/2020,0.5681818181818182,0.39680886157265133,0.41,0.988,0.0845,0.93,0.109,0.0795,0.5191584558998524,0.0327,0.4222665749025006,0.36363636363636365,0.8,Sad,0.191333333,2
The Funeral,The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Various Artists,4Ao5JXfOIMJGlVo8sJpjFr,4/2/2007,0.0,0.619526865789692,0.316,0.0143,0.769,0.0,0.0928,0.118,0.12577942786424864,0.0422,0.5618628125716908,0.0,0.8,Sad,0.401,1
The Good in Goodbye (Alternate Version),The Good in Goodbye (Alternate Version),Alexander Wren,4IUfRZY8k9MHRsStnjMTUb,10/25/2019,0.45454545454545453,0.4814602612404581,0.709,0.59,0.299,0.00292,0.111,0.423,0.21421771621685942,0.0297,0.5183941270933701,0.0,0.6,Happy,0.477,1
The Hardest Button To Button,Elephant,The White Stripes,5vVwPth7ccUHil5wsUG7ky,4/1/2003,0.6363636363636364,0.4097937199661248,0.692,0.0097,0.515,0.292,0.103,0.549,0.2020086629539721,0.0678,0.5894425326909841,0.36363636363636365,0.8,Happy,0.585333333,0
The Hell Song,All The Good Sh**. 14 Solid Gold Hits (2000-2008),Sum 41,2iyriVrfEXWD7YRfPqub7l,1/1/2009,0.42045454545454547,0.3848445038611193,0.343,0.000135,0.956,0.00165,0.143,0.553,0.1207339711552192,0.0739,0.79525120440468,0.7272727272727273,0.8,Happy,0.617333333,0
The Hummingbird,The Hummingbird,Barry Adamson,60Rodg2E5ghUbYBrBFr0TA,9/26/2018,0.0,0.4263339332874205,0.478,2.27e-05,0.901,0.0801,0.326,0.577,0.11859203198629158,0.0334,0.43571461344345036,0.8181818181818182,0.6,Happy,0.652,3
The Hunger,The Hunger,Bat For Lashes,7AaSbMyCeUxcGsvCmzmfEJ,8/5/2019,0.29545454545454547,0.576804733271216,0.436,0.0402,0.753,0.0204,0.148,0.399,0.23228140320814888,0.0359,0.41279192475338383,0.36363636363636365,0.8,Happy,0.529333333,0
The Joker,The Joker,Steve Miller Band,1bp2IO61zbQrbWNmKKxg3f,1/1/1973,0.875,0.5102561283091519,0.596,0.365,0.448,5.3e-06,0.206,0.796,0.2288543005378647,0.0396,0.38216563431979816,0.45454545454545453,0.8,Happy,0.613333333,0
The King (with Dzeko),The King (with Dzeko),Dimitri Vangelis & Wyman,40UbcJWyWPqOWFvv4Dpvfc,6/14/2019,0.6704545454545454,0.40413563206417,0.655,0.0587,0.726,0.00311,0.145,0.292,0.10981008139368842,0.0324,0.5872952512044047,0.8181818181818182,0.8,Happy,0.557666667,0
The Message,Slow Air,Still Corners,3oLJlBI7OveRtPOuMe4oaM,8/17/2018,0.6022727272727273,0.5642269176828268,0.64,0.00278,0.695,0.611,0.337,0.343,0.236065495739921,0.0326,0.5414039917412251,0.45454545454545453,0.8,Happy,0.559333333,0
The Mind's Eye,This Ascension is Ours,Song Sung,1igVdCr2mrzwu2lHxUbJWn,7/31/2020,0.29545454545454547,0.6388816547158127,0.376,0.000708,0.546,0.777,0.359,0.305,0.3017278309296016,0.0362,0.5322092222986924,0.6363636363636364,0.8,Sad,0.409,1
The Night We Met,Strange Trails,Lord Huron,6mORGLOz79w6VsCRLWYYuK,4/6/2015,0.19318181818181818,0.4016625094285389,0.443,0.969,0.369,0.277,0.638,0.0989,0.22642676947974674,0.0441,0.7988391832989218,0.8181818181818182,0.6,Sad,0.303633333,2
The Night We Met - Rework,The Night We Met,Nico Casal,6lUDMNgZEaXVprnVgoprfT,7/17/2020,0.3522727272727273,0.3420741435221356,0.506,0.992,0.0434,0.866,0.123,0.0823,0.4747489171307535,0.0442,0.5080201881165405,0.8181818181818182,1.0,Sad,0.210566667,2
The Safety Dance,Greatest,Men Without Hats,5O4NFbDqJ8SOfbjnIhdPDt,2/11/2013,0.6931818181818182,0.31804511423241566,0.524,0.0252,0.881,0.0,0.101,0.62,0.10659717264029701,0.0468,0.46651525579261305,0.45454545454545453,0.8,Happy,0.675,3
The Snail’s Teachings II: The Wonders of,In Between (B-Side),Steven Vrancken,2plPRo1J2A2erccAh1eJMB,6/5/2020,0.42045454545454547,0.38244661662548013,0.334,0.944,0.00961,0.901,0.105,0.0916,0.6482935884620876,0.0416,0.3127001605872907,0.45454545454545453,0.6,Sad,0.14507,2
The Temporary,The Temporary,Kate Teague,5g5dwJD6zwXG81LRdEsnQr,6/16/2020,0.4090909090909091,0.4225104316775758,0.549,0.292,0.524,0.0366,0.122,0.229,0.19724879813413299,0.0261,0.4358384950676761,0.0,0.8,Sad,0.434,1
The Times Are Tired,Views from Sixteen Stories,Alaskan Tapes,1c6aKOdOoR1TFqn0JTyc4R,9/19/2019,0.29545454545454547,0.4677442690880891,0.216,0.792,0.195,0.93,0.102,0.14,0.33380931981531725,0.0382,0.2824271621931636,0.7272727272727273,0.6,Sad,0.183666667,2
The Wall,The Wall,Alok,0Qp1IH1EkRCNabfgzxNMUT,6/28/2019,0.6704545454545454,0.30769349483865865,0.682,0.00953,0.91,0.0673,0.0732,0.536,0.05507163596553858,0.0431,0.5640880935994494,1.0,0.8,Happy,0.709333333,3
There For You,There For You,Gorgon City,4Qv71lFPCObf7zol1uWCJb,8/16/2019,0.7727272727272727,0.3597660371971534,0.533,0.00529,0.844,8.91e-05,0.0722,0.712,0.11994859345994574,0.0302,0.5688047717366369,1.0,0.8,Happy,0.696333333,3
Thin White Duchess,Thin White Duchess,Martin Thulin,0QevFRZ5eiXah4VZWeviK4,1/31/2020,0.3181818181818182,0.4868926429424372,0.537,0.115,0.655,0.294,0.243,0.283,0.19501166166880862,0.0374,0.5504244092681808,0.6363636363636364,0.8,Happy,0.491666667,1
Thirteen Thirty-Five,This Silence Kills,Dillon,3N2vr4m44BBZiVCZ0O4bnf,11/11/2011,0.0,0.43035613351775653,0.67,0.786,0.293,0.0,0.215,0.36,0.25132086248750535,0.0486,0.3072906629961001,0.45454545454545453,0.8,Sad,0.441,1
This Reminds You - Satie Remix,This Reminds You,Remy Van Kesteren,7sJm369JitaQLnkymEMe7f,2/1/2019,0.0,0.619526865789692,0.258,0.87,0.0589,0.898,0.148,0.0378,0.5659955257270693,0.0381,0.45365450791465933,0.45454545454545453,0.8,Sad,0.118233333,2
Throw Me a Bone,Throw Me a Bone,Goat Girl,5fw57RymBIg7ys4M8tWJ5H,3/27/2018,0.29545454545454547,0.28405800456428093,0.516,0.585,0.487,0.0507,0.168,0.209,0.2510828692465134,0.0331,0.441403991741225,0.45454545454545453,0.6,Sad,0.404,1
Tilted Towers,Tilted Towers,Alesso,5hdAQegqnitMjNacfLOHQd,11/30/2018,0.5681818181818182,0.500556549048658,0.702,0.000771,0.842,0.828,0.28,0.175,0.12040078061783045,0.0331,0.5689837118605185,0.6363636363636364,0.8,Happy,0.573,0
Time Out,Time Out,Amoll,4CYsf9MUjowxTMTVT39hTL,1/3/2020,0.36363636363636365,0.3361286178099554,0.695,0.988,0.0761,0.929,0.133,0.262,0.4056118806225903,0.0399,0.5736040376233081,0.8181818181818182,0.8,Sad,0.344366667,2
Time Travel,Rooftops,AMBIE,2ENH05Q7PkilEF6WujXNjG,6/22/2020,0.4431818181818182,0.31017819215121156,0.502,0.965,0.289,0.913,0.153,0.156,0.41358465419582086,0.0307,0.6328332186281257,0.7272727272727273,0.8,Sad,0.315666667,2
Tiptoeing,Tiptoeing,Jacco Wynia,28nLvoHu6NbkHNPmoxR8uD,3/20/2020,0.42045454545454547,0.23252754290829192,0.467,0.986,0.137,0.928,0.101,0.0687,0.5494549954781284,0.043,0.5446891488873595,0.0,0.8,Sad,0.224233333,2
To Build A Home,Ma Fleur,The Cinematic Orchestra,54KFQB6N4pn926IUUYZGzK,5/7/2007,0.8181818181818182,0.7163181724356785,0.264,0.885,0.122,0.349,0.094,0.0735,0.36648579180351276,0.0349,0.6820738701537049,0.8181818181818182,0.8,Sad,0.153166667,2
To The Hilt,To The Hilt,BANKS,41bqxcnDRcYsBJnJKtPCdp,9/16/2016,0.4772727272727273,0.5338742565681469,0.327,0.948,0.101,0.0,0.0945,0.0866,0.33197677185967917,0.0525,0.7879513649919707,0.7272727272727273,0.8,Sad,0.171533333,2
To the Moon,To the Moon,Junodream,65AABj5XsDcxGT92w3jK0o,5/8/2018,0.0,0.3279896908210883,0.703,0.356,0.352,0.00378,0.0715,0.85,0.35363415678994714,0.0428,0.4955402615278734,0.36363636363636365,0.8,Happy,0.635,0
